id,name,muscle_primary,equipment,difficulty,modality,population_notes,evidence_notes,contraindications
chest_001,Barbell Bench Press,pectoralis_major_sternal,barbell|bench,intermediate,gym,,,
chest_002,Incline Barbell Bench Press,pectoralis_major_clavicular,barbell|incline_bench,intermediate,gym,,,
chest_003,Incline Dumbbell Press,pectoralis_major_clavicular,dumbbells|incline_bench,beginner,gym,,,
chest_004,Flat Dumbbell Press,pectoralis_major_sternal,dumbbells|flat_bench,beginner,gym,,,
chest_005,Cable Chest Fly Low-to-High,pectoralis_major_clavicular,cable_machine,beginner,gym,,,
chest_006,Dumbbell Chest Fly,pectoralis_major_sternal,dumbbells|flat_bench,beginner,gym,,,
chest_007,Machine Chest Press,pectoralis_major_sternal,chest_press_machine,beginner,gym,"Preferred for elderly, rehab, beginners",,
chest_008,Pec Deck Machine Fly,pectoralis_major,pec_deck_machine,beginner,gym,,,
chest_009,Chest Dips,pectoralis_major_sternal,dip_bars,intermediate,gym,,,shoulder_impingement|AC_joint_injury
chest_010,Push-Up Standard,pectoralis_major_sternal,,beginner,home|hotel|gym|outdoor,,,
chest_011,Decline Push-Up,pectoralis_major_sternal,chair_or_bench,intermediate,home|hotel,,,
chest_012,Resistance Band Chest Fly,pectoralis_major,resistance_band,beginner,home|hotel|travel,,,
chest_013,Incline Push-Up,pectoralis_major_sternal,wall_or_counter_or_bench,beginner,home|hotel|gym|beginner,"Entry point for elderly, obese, very deconditioned",,
chest_014,Wall Push-Up,pectoralis_major,wall,beginner,home|hotel|elderly|rehabilitation,,,
chest_015,Archer Push-Up,pectoralis_major_sternal,,advanced,home|hotel|gym,,,
chest_016,One-Arm Push-Up,pectoralis_major,,advanced,home|hotel|gym,,,
back_001,Barbell Deadlift,erector_spinae|gluteus_maximus|hamstrings,barbell|plates,intermediate,gym,,,acute_lumbar_disc_herniation
back_002,Romanian Deadlift,hamstrings|gluteus_maximus,barbell_or_dumbbells,beginner,gym,,,
back_003,Single-Leg Romanian Deadlift,hamstrings|gluteus_maximus|gluteus_medius,dumbbell_or_kettlebell,intermediate,gym|home,,,
back_004,Dumbbell Romanian Deadlift,hamstrings|gluteus_maximus,dumbbells,beginner,gym|home,,,
back_005,Pull-Up,latissimus_dorsi|teres_major,pull_up_bar,intermediate,gym|home|outdoor,,,
back_006,Assisted Pull-Up,latissimus_dorsi,pull_up_bar|resistance_band,beginner,gym|home,,,
back_007,Lat Pulldown,latissimus_dorsi|teres_major,cable_machine,beginner,gym,,,
back_008,Seated Cable Row,rhomboids|middle_trapezius|latissimus_dorsi,cable_machine,beginner,gym,,,
back_009,Barbell Bent-Over Row,latissimus_dorsi|rhomboids,barbell,intermediate,gym,,,acute_lower_back_strain
